word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,rmse_v,rmse_a,rmse_d,vad_variance
daylight,0.4059105544806322,-0.3883908367589199,-0.028645757200044808,0.38343148984420933,-0.36819879432303887,-0.02478825025126838,0.015509538007026766,0.01758699599629183,0.022479064636422852,0.02019204243588102,0.003857506948776429,0.022479064636422852,0.02019204243588102,0.003857506948776429,0.09087740277741124
dust,-0.04733527367669811,-0.32375480961962977,-0.16240767662997857,-0.04825454234870403,-0.32378157799426005,-0.16152698622086673,0.0006089091519160145,0.000735161441207181,0.000919268672005917,2.676837463028159e-05,0.000880690409111845,0.000919268672005917,2.676837463028159e-05,0.000880690409111845,0.013088493147903134
delivery,0.402055924394144,-0.0029438624826546396,0.16152024309413382,0.4042990800679742,-0.010572237158798459,0.15500338697362132,0.005462795490162178,0.005935578075529803,0.0022431556738302105,0.007628374676143819,0.006516856120512504,0.0022431556738302105,0.007628374676143819,0.006516856120512504,0.03222899749905624
stern,0.20147221579549335,-0.05184432072126098,0.21661574623110214,0.2000228550146221,-0.06309809058827523,0.2005110669054411,0.009602603324515508,0.011374074014694114,0.0014493607808712394,0.011253769867014249,0.016104679325661037,0.0014493607808712394,0.011253769867014249,0.016104679325661037,0.015499170594918343
stir,0.2876702644371554,-0.08289045862206056,0.11983032023319133,0.32151469387991777,0.045610463632662246,0.15519341702503409,0.06590281616310932,0.07939034584324402,0.03384442944276239,0.12850092225472282,0.035363096791842755,0.03384442944276239,0.12850092225472282,0.035363096791842755,0.012851128357584724
red,-0.013863346968021042,-0.16791445084448728,-0.09252050316145588,-0.027328437270497545,-0.15383523010182518,-0.07349144551626197,0.015524456230110839,0.01572299959124177,0.013465090302476503,0.014079220742662102,0.019029057645193914,0.013465090302476503,0.014079220742662102,0.019029057645193914,0.003367143348021019
sorrow,-0.2218782764255623,0.08926190037555795,-0.16943376394487342,-0.2102354320309417,0.0908250970972939,-0.1597087550086738,0.007643683350852058,0.008804832165679573,0.0116428443946206,0.0015631967217359516,0.009725008936199625,0.0116428443946206,0.0015631967217359516,0.009725008936199625,0.015416630710572636
sentiment,0.12829133747004412,-0.18182218165733138,-0.01864350152633293,0.12441648645699269,-0.18056968216534003,-0.021022122366533343,0.0025019904484144006,0.0027228087490812404,0.0038748510130514335,0.0012524994919913546,0.002378620840200414,0.0038748510130514335,0.0012524994919913546,0.002378620840200414,0.010843426847570602
guest,0.41045323804465006,-0.1988805220144778,0.013303866312270261,0.4174849545220311,-0.19246834333836543,0.008276692432479164,0.0061570230110948405,0.0062137897510380425,0.007031716477381045,0.006412178676112379,0.005027173879791097,0.007031716477381045,0.006412178676112379,0.005027173879791097,0.06542392209630793
threaten,-0.07146482696702522,0.11419636255053933,-0.03584571117338915,-0.08046276241958392,0.11606134222416853,-0.041208345312444966,0.005408516421747903,0.006142714831430526,0.008997935452558697,0.0018649796736291968,0.0053626341390558135,0.008997935452558697,0.0018649796736291968,0.0053626341390558135,0.007024965234995719
working,0.4481763015425962,0.1023643813126752,0.2365276370917533,0.4356318328083206,0.1013549308376496,0.25654410010479556,0.01119012740744782,0.013650903237994134,0.012544468734275616,0.0010094504750255973,0.020016463013042246,0.012544468734275616,0.0010094504750255973,0.020016463013042246,0.02101685527306671
avoid,-0.05790053876190092,-0.19105636816957436,-0.035988436823229615,-0.06856507233112291,-0.1870880196951338,-0.028759102018242506,0.007287405616216551,0.007783387171539468,0.010664533569221993,0.003968348474440553,0.007229334804987109,0.010664533569221993,0.003968348474440553,0.007229334804987109,0.004481052690588192
sweep,0.16470930325126176,-0.040431661588763726,-0.003146959402367359,0.1836161841860207,-0.031269305248740456,0.011034978316954366,0.01408372499803464,0.014634961312526423,0.018906880934758924,0.00916235634002327,0.014181937719321726,0.018906880934758924,0.00916235634002327,0.014181937719321726,0.009326146666822525
dear,0.27520443266282973,-0.1334487512580796,0.07893937800875571,0.29155338490941757,-0.1609948419581389,0.0613253550264781,0.02050302197630825,0.02110552185280199,0.016348952246587833,0.02754609070005931,0.017614022982277606,0.016348952246587833,0.02754609070005931,0.017614022982277606,0.03749065407406148
energy,0.3153213949996975,0.06490492522836513,0.35674682132728575,0.30546356403486036,0.065134919080691,0.3557627289801326,0.0036906390547720527,0.005721251793420023,0.009857830964837166,0.00022999385232586045,0.0009840923471531315,0.009857830964837166,0.00022999385232586045,0.0009840923471531315,0.02153889125926509
hair,0.34399238216758565,-0.13226267735158323,0.04907005020126856,0.34114790452741056,-0.14212605429867092,0.04218906444303547,0.006529613448498626,0.007135012797250931,0.0028444776401750915,0.009863376947087693,0.0068809857582330936,0.0028444776401750915,0.009863376947087693,0.0068809857582330936,0.04275455370118148
policy,0.39652711685934855,0.08565780946070947,0.3542990050999319,0.40167087537500357,0.10461770665005667,0.34956355981084003,0.009613033664698026,0.011667053258127799,0.005143758515655017,0.018959897189347194,0.004735445289091866,0.005143758515655017,0.018959897189347194,0.004735445289091866,0.016491456369928957
hearing,0.28056268315315536,-0.1471389994394076,0.3219322840618343,0.29801849923791845,-0.13718194351610327,0.27461870467337884,0.02490881713217428,0.02967840557483144,0.0174558160847631,0.009957055923304314,0.04731357938845543,0.0174558160847631,0.009957055923304314,0.04731357938845543,0.04613080251159543
reality,0.2816867705715977,-0.16656475501581464,0.3064209520925055,0.2879697384213141,-0.16539222629880987,0.3116878301755628,0.004240791549926154,0.0047815797018196165,0.0062829678497164365,0.0011725287170047671,0.005266878083057258,0.0062829678497164365,0.0011725287170047671,0.005266878083057258,0.05349606442807193
payment,0.13072736939218596,-0.05268172122184964,0.1458108783037751,0.13962244168626203,-0.03886303110212126,0.14524363021057796,0.007760336835667195,0.009493862546248044,0.008895072294076073,0.013818690119728375,0.0005672480931971369,0.008895072294076073,0.013818690119728375,0.0005672480931971369,0.006221109721517505
brother,0.6558799816699865,0.15523973080566975,0.22165559612433025,0.6304492455178297,0.1273309163515387,0.20920979121878372,0.02192845183727814,0.02295301233115643,0.025430736152156852,0.027908814454131042,0.012445804905546531,0.025430736152156852,0.027908814454131042,0.012445804905546531,0.05276977629248788
with,0.011463716493103744,-0.0090104637456596,0.0725128552124125,0.038411329556911955,-0.019002496994273678,0.08064133602802356,0.015022709042677782,0.017244194952194716,0.02694761306380821,0.009992033248614078,0.008128480815611058,0.02694761306380821,0.009992033248614078,0.008128480815611058,0.005874981847867793
silence,0.11005424801618699,-0.14847452858304314,-0.016555134664537043,0.10851404976909425,-0.1457808687090328,-0.015522897445334825,0.001755365113435094,0.0018879908045244989,0.0015401982470927417,0.0026936598740103235,0.0010322372192022172,0.0015401982470927417,0.0026936598740103235,0.0010322372192022172,0.010781639010836784
space,0.255696022308576,-0.16889083745881078,0.1523206915231758,0.26147400294212164,-0.14834230777779406,0.16755723298602393,0.013854350592470163,0.015141326758272585,0.005777980633545621,0.020548529681016725,0.015236541462848141,0.005777980633545621,0.020548529681016725,0.015236541462848141,0.036544811989540786
savage,-0.10516087104756483,0.11602546122656637,0.2016052488284802,-0.1158036238693688,0.10252532241785395,0.16525979874184196,0.02016278057238487,0.023212882037644746,0.010642752821803964,0.013500138808712425,0.036345450086638226,0.010642752821803964,0.013500138808712425,0.036345450086638226,0.012317120427385595
building,0.1335848268645068,-0.3070105103952034,0.1559950781714056,0.13332805042321708,-0.30225985346293754,0.1568911124272422,0.001967822543130724,0.0027950881212417122,0.00025677644128971333,0.00475065693226584,0.0008960342558366197,0.00025677644128971333,0.00475065693226584,0.0008960342558366197,0.03905676485368125
composition,0.2811653628898612,-0.11905532074224744,0.17403436425696933,0.2649910495021449,-0.13434542135876415,0.17653263613396925,0.01132089529374431,0.012931060188536644,0.0161743133877163,0.015290100616516714,0.0024982718769999135,0.0161743133877163,0.015290100616516714,0.0024982718769999135,0.02538839013766635
hardly,0.013006788151876598,-0.03828389869060909,-0.053376984999182094,0.013783731991084371,-0.039163905896303,-0.05270891096994941,0.0007750083580447906,0.0007798241938392951,0.0007769438392077731,0.0008800072056939154,0.0006680740292326834,0.0007769438392077731,0.0008800072056939154,0.0006680740292326834,0.0008155213923613276
