word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,word_length,trajectory_length,vad_variance,error_v,error_a,error_d
magnificent,0.5800499712287382,0.20266350722350035,0.4989149979729145,0.6355008720420774,0.16095657700906485,0.4828970410898282,0.03772526263695364,0.041113036746799184,0.05545090081333914,0.0417069302144355,0.01601795688308627,11,39,0.03377789493048731,0.05545090081333914,-0.0417069302144355,-0.01601795688308627
ruling,0.1590375353757159,0.13204049436907683,0.46178924734361604,0.16558271431891314,0.146466005132675,0.49695326307038445,0.0187115684778546,0.022266886702168125,0.006545178943197227,0.01442551076359816,0.035164015726768416,6,39,0.028783349293623205,0.006545178943197227,0.01442551076359816,0.035164015726768416
vivid,0.47721740396762813,0.16319636833484763,0.4250253001756934,0.4763438686578515,0.1705666888452385,0.4196407490261437,0.004542802323239077,0.005293961322281338,0.0008735353097766296,0.007370320510390882,0.005384551149549721,5,39,0.017729677632621416,-0.0008735353097766296,0.007370320510390882,-0.005384551149549721
in,0.16221132760121976,-0.17805121507226862,0.10857314849233338,0.18614878483448766,-0.16668123577280222,0.12417966478392381,0.016971317608108244,0.017756141086250524,0.0239374572332679,0.011369979299466398,0.015606516291590433,2,39,0.02476712074211257,0.0239374572332679,0.011369979299466398,0.015606516291590433
thrust,-0.007399727791968607,0.30050832499295843,0.17373252470071013,-0.019300488023981335,0.30246391111313453,0.17122590871219667,0.005454320780234095,0.007111857115342714,0.011900760232012728,0.0019555861201761005,0.0025066159885134554,6,39,0.016872359462393568,-0.011900760232012728,0.0019555861201761005,-0.0025066159885134554
slightly,0.1880482062597567,-0.11789033412645018,-0.13284523519147645,0.19065469224616993,-0.11883569059969822,-0.13004174666458765,0.0021184436621833522,0.002276475051424725,0.0026064859864132206,0.0009453564732480324,0.0028034885268888032,8,39,0.022446422582031767,0.0026064859864132206,-0.0009453564732480324,0.0028034885268888032
tension,-0.019066762583844432,0.23440302950485659,-0.006127385062238315,-0.019330476823325914,0.23495560702441856,-0.006307000124717884,0.00033196894050767513,0.00036839683580802766,0.0002637142394814815,0.0005525775195619753,0.00017961506247956855,7,39,0.009964163227742637,-0.0002637142394814815,0.0005525775195619753,-0.00017961506247956855
reduction,0.08442139813809912,-0.12183295320964482,0.014407330950078798,0.08236666634326535,-0.13832303569982526,0.019955926896079033,0.008031136743671482,0.010114867938726414,0.0020547317948337723,0.01649008249018044,0.005548595946000235,9,39,0.008360143863431107,-0.0020547317948337723,-0.01649008249018044,0.005548595946000235
throw,0.17481570931183493,-0.039694679440931815,0.10515837435985838,0.1791725154021423,-0.057231366723275515,0.10471957681913115,0.007444096971126098,0.010435671251833025,0.0043568060903073635,0.0175366872823437,0.00043879754072723154,5,39,0.013533883500149798,0.0043568060903073635,-0.0175366872823437,-0.00043879754072723154
agricultural,0.35675385178663416,-0.28143621356446236,-0.06438013076833159,0.3579996427005572,-0.2781439961066426,-0.06029691480546172,0.0028737414448708845,0.003112520060991399,0.0012457909139230172,0.0032922174578197683,0.004083215962869868,12,39,0.06880546741072155,0.0012457909139230172,0.0032922174578197683,0.004083215962869868
eighth,0.01393694583093016,-0.43853447383203503,-0.1525127776743822,0.017683799814696085,-0.4314374645929593,-0.15756326438556545,0.005298116644674972,0.005474604123740444,0.0037468539837659243,0.007097009239075747,0.005050486711183244,6,39,0.03310608838843681,0.0037468539837659243,0.007097009239075747,-0.005050486711183244
